,Event,Execution_Date,Exit_Date,Gross_Return,Net_Return,End_Wealth
0,1,2023-10-18,2023-11-16,0.1758451318428622,0.17560996281649377,1.1756099628164938
1,2,2023-11-16,2023-12-18,0.1655459290556267,0.1655459290556267,1.370227406318001
2,3,2023-12-18,2024-01-19,0.08970412879010436,0.08970412879010436,1.4931424620460818
3,4,2024-01-19,2024-02-20,0.028236159739829514,0.028236159739829514,1.5353030711187372
4,5,2024-02-20,2024-03-20,0.10418385833649757,0.10418385833649757,1.6952568687837615
5,6,2024-03-20,2024-04-19,-0.19805500767385698,-0.19805500767385698,1.3595027566276348
6,7,2024-04-19,2024-05-20,0.2983023066433539,0.2983023066433539,1.7650455648176564
7,8,2024-05-20,2024-06-20,0.16889763879958863,0.16889763879958863,2.063157593089045
8,9,2024-06-20,2024-07-22,-0.008607849926818179,-0.008607849926818179,2.045398242152359
9,10,2024-07-22,2024-08-20,-0.044498501118788614,-0.044498501118788614,1.9543810861855742
10,11,2024-08-20,2024-09-19,-0.00395138885536761,-0.00395138885536761,1.9466585665424792
11,12,2024-09-19,2024-10-18,0.060929097950515265,0.060929097950515265,2.0652667170195556
12,13,2024-10-18,2024-11-18,0.015139140627684622,0.015139140627684622,2.096533080282191
13,14,2024-11-18,2024-12-18,0.08341051121895116,0.08341051121895116,2.271405976295971
14,15,2024-12-18,2025-01-22,0.07311197485870857,0.07311197485870857,2.437472952928842
15,16,2025-01-22,2025-02-21,-0.04658322563007178,-0.04658322563007178,2.3239276003953604
16,17,2025-02-21,2025-03-24,-0.21001067548777552,-0.21001067548777552,1.8358779952516455
17,18,2025-03-24,2025-04-23,-0.2712571860684432,-0.2712571860684432,1.3378828962947096
18,19,2025-04-23,2025-05-22,0.4212278532640268,0.4212278532640268,1.9014364366195886
19,20,2025-05-22,2025-06-24,0.14365212163131758,0.14365212163131758,2.174581814887085
20,21,2025-06-24,2025-07-24,0.1353072188676785,0.1353072188676785,2.468818432459685
21,22,2025-07-24,2025-08-22,0.02216685687408093,0.02216685687408093,2.523544377300112
22,23,2025-08-22,2025-09-23,0.13531759834818846,0.13531759834818846,2.865024341761438
23,24,2025-09-23,2025-10-22,0.02036836420871002,0.02036836420871002,2.9233802010212546
24,25,2025-10-22,2025-11-20,-0.11185467911343028,-0.11185467911343028,2.596386446709467
25,26,2025-11-20,2025-12-22,0.16792251570922678,0.16792251570922678,3.032378190594261
26,27,2025-12-22,2026-01-23,0.003965897663860796,0.003965897663860796,3.044404292176281
27,28,2026-01-23,2026-02-24,-0.08458995625659194,-0.08458995625659194,2.7868782662737086
28,29,2026-02-24,2026-03-25,-0.10680208378772804,-0.10680208378772804,2.489233860172946
29,30,2026-03-25,2026-04-24,0.40932644986266387,0.40932644986266387,3.508143119035472
30,31,2026-04-24,2026-05-26,0.30994234465399706,0.30994234465399706,4.595465222731113
31,32,2026-05-26,2026-06-25,-0.08331212806210886,-0.08331212806210886,4.212607235589971
32,33,2026-06-25,2026-07-27,-0.15410268035553487,-0.15410268035553487,3.563433169300436
33,34,2026-07-27,2026-07-27,0.0,-0.0,3.563433169300436
