,Event,Signal_Date,Execution_Date,Exit_Date,Pre_Lambda,V8_TQQQ_Weight_Pct,V8_Alpha_Weight_Pct,Turnover,TCA_bps,Gross_Return_Pct,Net_Return_Pct,V16_Wealth,V8_Return_Pct,TQQQ_Return_Pct
0,1,2023-10-17,2023-10-18,2023-11-16,0.5,100.0,0.0,1.0,2.0,17.584513184286223,17.56451318428622,1.1756451318428622,17.560996281649377,17.560996281649377
1,2,2023-11-15,2023-11-16,2023-12-18,0.4999999999999998,49.999999999999986,50.000000000000014,1.0000000000000009,2.0000000000000018,11.76530736145367,11.745307361453671,1.3137282660577736,11.812173219741084,16.55459290556267
2,3,2023-12-15,2023-12-18,2024-01-19,0.4998986173422545,100.0,0.0,0.957148728374001,1.9142974567480022,8.970412879010436,8.951269904442956,1.4313236289635634,8.949543718992592,8.970412879010436
3,4,2024-01-18,2024-01-19,2024-02-20,0.499898636746914,50.66809394378839,49.33190605621161,0.9866381211242321,1.9732762422484642,9.690665529744544,9.67093276732206,1.569745974803424,9.669020531315908,2.8236159739829514
4,5,2024-02-16,2024-02-20,2024-03-20,0.499898636746914,49.52550632300547,50.47449367699453,1.0500783984400128,2.1001567968800257,7.151653844595608,7.130652276626807,1.681679101893002,7.134891407107302,10.418385833649758
5,6,2024-03-19,2024-03-20,2024-04-19,0.49990033303692455,49.78232357156437,50.21767642843563,0.4479467899116938,0.8958935798233876,-11.526185432312625,-11.535144368110858,1.487694989681294,-11.400821078877154,-19.8055007673857
6,7,2024-04-18,2024-04-19,2024-05-20,0.4996249180421685,48.86818870297896,51.13181129702104,1.0968938073071874,2.193787614614375,22.6307126810086,22.608774804862456,1.8240445996815595,21.100787527405096,29.83023066433539
7,8,2024-05-17,2024-05-20,2024-06-20,0.5016741216320915,49.57118471359278,50.42881528640722,0.8002686860237345,1.6005373720474692,15.99870570111244,15.982700327391965,2.11557618188664,15.327872675354692,16.889763879958863
8,9,2024-06-18,2024-06-20,2024-07-22,0.50261049753234,49.78974350833183,50.21025649166817,1.0042051298333636,2.0084102596667273,2.914667871744559,2.8945837691478915,2.176813306671489,2.617570129083857,-0.8607849926818179
9,10,2024-07-19,2024-07-22,2024-08-20,0.5030402038745125,48.92269658031597,51.07730341968403,1.040736138218262,2.081472276436524,-5.603927945655025,-5.62474266841939,2.0543731597993067,-6.791497812440173,-4.449850111878861
