Version,Start,End,Final_Wealth,Net_Return_Pct,Ending_USD,Profit_Loss_USD,CAGR_Pct,Event_Mark_Max_Drawdown_Pct,Accounting,Historical_Status,Current_Run_Status
V8,2023-10-18,2026-07-27,4.184168637789576,318.41686377895763,41841.68637789576,31841.686377895763,67.54407533308057,-35.44228021136555,Close / additive TCA / terminal rebalance,Historical champion before V16,COMPUTED_IN_THIS_RUN
V8 original,2023-10-18,2026-07-27,3.861086372308997,286.1086372308997,38610.86372308997,28610.863723089973,62.75920459070925,-37.72407602162002,Open / multiplicative TCA,Original research freeze,COMPUTED_IN_THIS_RUN
V7,2023-10-18,2026-07-27,3.7095891237107494,270.9589123710749,37095.89123710749,27095.891237107495,60.4270666248135,-30.672903219851,Open / multiplicative TCA,Historical V7,COMPUTED_IN_THIS_RUN
TQQQ,2023-10-18,2026-07-27,3.5634331693004357,256.34331693004356,35634.33169300436,25634.33169300436,58.11869844804649,-45.1118875109107,Close / initial multiplicative entry cost,Historical benchmark,COMPUTED_IN_THIS_RUN
CASH,2023-10-18,2026-07-27,1.0,0.0,10000.0,0.0,0.0,0.0,Zero cash return as declared in original project,Declared baseline,COMPUTED_IN_THIS_RUN
V5,2023-10-18,2026-07-27,3.4883033221038353,248.83033221038352,34883.03322103836,24883.033221038353,56.90849176804094,-45.93629916018779,Open / original historical accounting,Earlier challenger,COMPUTED_IN_THIS_RUN
V6,2023-10-18,2026-07-27,2.3276253040474666,132.76253040474666,23276.253040474665,13276.253040474667,35.611075933823265,-35.478896853698785,Open / original historical accounting,Earlier challenger,COMPUTED_IN_THIS_RUN
V4 HGB,2023-10-18,2026-07-27,0.9637925296306754,-3.620747036932459,9637.925296306754,-362.0747036932459,-1.3209254499749967,-36.883862950403625,Open / original historical accounting,Earlier challenger,COMPUTED_IN_THIS_RUN
V4 RIDGE,2023-10-18,2026-07-27,1.323826866689052,32.3826866689052,13238.26866689052,3238.2686668905203,10.643977902510526,-17.698429101038915,Open / original historical accounting,Earlier challenger,COMPUTED_IN_THIS_RUN
V9,2023-10-18,2026-07-27,1.7748361056301398,77.48361056301398,17748.361056301397,7748.361056301398,22.980759111222525,-39.56102024236039,Close / original linear + impact costs,Historically rejected,COMPUTED_IN_THIS_RUN
V10,2023-10-18,2026-07-27,1.9773248161460433,97.73248161460432,19773.248161460433,9773.248161460433,27.865883798611947,-47.37980056483701,Close / original linear + impact costs,Historically rejected,COMPUTED_IN_THIS_RUN
V11,2023-10-18,2026-07-27,3.562872870305671,256.2872870305671,35628.72870305671,25628.72870305671,58.10973372104018,-45.1118875109107,Close / original linear + impact costs,Historically rejected,COMPUTED_IN_THIS_RUN
V12,2023-10-18,2026-07-27,4.132877088918034,313.28770889180345,41328.77088918034,31328.770889180345,66.80061684026981,-27.3332177319666,Close / V12 original multiplicative costs,Historically rejected,COMPUTED_IN_THIS_RUN
V13,2023-10-18,2026-07-27,4.006967286337962,300.69672863379617,40069.672863379616,30069.672863379616,64.950213614976,-35.93500758356406,Close / original meta allocator costs,Historically rejected,COMPUTED_IN_THIS_RUN
V14,2023-10-18,2026-07-27,3.900522805545983,290.05228055459827,39005.228055459826,29005.22805545983,63.35665492517422,-40.063902225704076,"Close / completed periods, no terminal rebalance",Historically rejected,COMPUTED_IN_THIS_RUN
V15,2023-10-18,2026-07-27,2.5536890268749457,155.36890268749457,25536.890268749456,15536.890268749457,40.21987999489396,-32.44521796223408,Close / original V15 costs and completed periods,Historically rejected,COMPUTED_IN_THIS_RUN
V16,2023-10-18,2026-07-27,4.365779600738577,336.5779600738577,43657.79600738577,33657.79600738577,70.13058833491186,-35.25977296218655,Close / additive TCA / terminal rebalance,Historical research champion,COMPUTED_IN_THIS_RUN
